	locale	id_specialization	name	description	description_after	medical_dictionary	tokens
36	en-US	678	Social phobia 			"<p>Social phobia is an intense and irrational fear in which the person feels anxiety to situations involving human relationships in environments with a large number of people around. People with social phobia usually avoid environments in which they can be judged by others. Situations such as public speaking, have a conversation or going to parties, are just some of the situations that cause patients blush, shake them or hinders speech.</p>

<p>Typically, this condition usually develops during youth and can last for a lifetime.</p>
"	['social', 'phobia', 'intens', 'irrat', 'fear', 'person', 'feel', 'anxieti', 'situat', 'involv', 'human', 'relationship', 'environ', 'larg', 'number', 'peopl', 'around', 'peopl', 'social', 'phobia', 'usual', 'avoid', 'environ', 'judg', 'situat', 'public', 'speak', 'convers', 'go', 'parti', 'situat', 'caus', 'patient', 'blush', 'shake', 'hinder', 'speech', 'typic', 'thi', 'condit', 'usual', 'develop', 'dure', 'youth', 'last', 'lifetim']
38	en-US	9	Lip Augmentation 			"<p>The lip augmentation and remodeling is a cosmetic treatment by infiltration of natural filling materials, can provide thick lips, profile them, give firmness or raise the corners. The most recommended as lip filler substances are usually hyaluronic acid, a component that provides volume and stimulates collagen production, or the patient&#39;s own fat extracted and purified previously. Both types of padding get a natural and immediate effect to its infiltration, although being absorbable by the body materials, its effect gradually diminishes over time. Normally, its duration is between six months and one year, but may be repeated this time last treatment. If an increase is desired final lips should practice a chieloplasty, which is an operation in which different techniques implants or grafts (which may be the patient&#39;s own fat or other substances such as collagen or goretex ) are used to achieve increased thickness of the lips.</p>
"	['lip', 'augment', 'remodel', 'cosmet', 'treatment', 'infiltr', 'natur', 'fill', 'materi', 'provid', 'thick', 'lip', 'profil', 'give', 'firm', 'rais', 'corner', 'recommend', 'lip', 'filler', 'substanc', 'usual', 'hyaluron', 'acid', 'compon', 'provid', 'volum', 'stimul', 'collagen', 'product', 'patient', 'fat', 'extract', 'purifi', 'previous', 'type', 'pad', 'get', 'natur', 'immedi', 'effect', 'infiltr', 'although', 'absorb', 'bodi', 'materi', 'effect', 'gradual', 'diminish', 'time', 'normal', 'durat', 'six', 'month', 'one', 'year', 'may', 'repeat', 'thi', 'time', 'last', 'treatment', 'If', 'increas', 'desir', 'final', 'lip', 'practic', 'chieloplasti', 'oper', 'differ', 'techniqu', 'implant', 'graft', 'may', 'patient', 'fat', 'substanc', 'collagen', 'goretex', 'use', 'achiev', 'increas', 'thick', 'lip']
42	en-US	10	Ear lobe Rejuvenation 			"<p><span style=""font-family: Arial, Helvetica, Garuda, sans-serif; font-size: 12px; line-height: 20px; background-color: rgb(254, 254, 254);"">The earlobe with the passage of time also ages and loses density acquiring a flabby, wrinkled and inconsistent appearance. The preauricular area with vertical lines that can increase more if possible the aging aspect of the pinna deteriorate also appearing.</span></p>
"	['earlob', 'passag', 'time', 'also', 'age', 'lose', 'densiti', 'acquir', 'flabbi', 'wrinkl', 'inconsist', 'appear', 'preauricular', 'area', 'vertic', 'line', 'increas', 'possibl', 'age', 'aspect', 'pinna', 'deterior', 'also', 'appear']
45	en-US	16	Carboxytherapy			"<p>Carboxytherapy is a particularly effective treatment for cellulite reduction, localized fat deposits, sagging and stretch marks, and even facial aging. His technique is based on the infiltration of carbon dioxide (CO2) by injection subcutaneously, followed by a circular in the treated area to help massage distribution. The application of this gas causes vasodilatation and improvement of blood circulation, helping to tissues more oxygen, which facilitates cellular nutrition in the treated area. Thus, the elimination of toxins and destruction of localized fat is facilitated, making a visible effect almost immediately, as the carboxiterapia makes the skin more supple and smooth in the treated areas.</p>
"	['carboxytherapi', 'particularli', 'effect', 'treatment', 'cellulit', 'reduct', 'local', 'fat', 'deposit', 'sag', 'stretch', 'mark', 'even', 'facial', 'age', 'hi', 'techniqu', 'base', 'infiltr', 'carbon', 'dioxid', 'inject', 'subcutan', 'follow', 'circular', 'treat', 'area', 'help', 'massag', 'distribut', 'applic', 'thi', 'ga', 'caus', 'vasodilat', 'improv', 'blood', 'circul', 'help', 'tissu', 'oxygen', 'facilit', 'cellular', 'nutrit', 'treat', 'area', 'thu', 'elimin', 'toxin', 'destruct', 'local', 'fat', 'facilit', 'make', 'visibl', 'effect', 'almost', 'immedi', 'carboxiterapia', 'make', 'skin', 'suppl', 'smooth', 'treat', 'area']
47	en-US	11	Hands rejuvenation			"<p>Hand rejuvenation is a treatment that combines different techniques for the recovery of smoothness, vitality and natural color of the skin in this area of ​​the body. Depending on the case, you may need one or more methods to achieve rejuvenate hands. To reduce wrinkles and folds of the skin, cell biostimulation treatment is advised by injection of calcium hydroxyapatite (known as radiesse), a mineral gel-based compound, calcium and water. Besides, to reduce wrinkles may also stimulate the production of collagen with hyaluronic acid fillers, which adds volume and gives a younger looking skin. You can also combine these techniques with peels or pulsed light treatments, suitable for removing small patches of skin or darkening produced by the sun.</p>
"	['hand', 'rejuven', 'treatment', 'combin', 'differ', 'techniqu', 'recoveri', 'smooth', 'vital', 'natur', 'color', 'skin', 'thi', 'area', 'bodi', 'depend', 'case', 'may', 'need', 'one', 'method', 'achiev', 'rejuven', 'hand', 'To', 'reduc', 'wrinkl', 'fold', 'skin', 'cell', 'biostimul', 'treatment', 'advis', 'inject', 'calcium', 'hydroxyapatit', 'known', 'radiess', 'miner', 'compound', 'calcium', 'water', 'besid', 'reduc', 'wrinkl', 'may', 'also', 'stimul', 'product', 'collagen', 'hyaluron', 'acid', 'filler', 'add', 'volum', 'give', 'younger', 'look', 'skin', 'also', 'combin', 'techniqu', 'peel', 'puls', 'light', 'treatment', 'suitabl', 'remov', 'small', 'patch', 'skin', 'darken', 'produc', 'sun']
51	en-US	12	Cryolipolysis 			<p> Cryolipolysis is a painless, noninvasive procedure aimed at reducing fat cells without damaging other tissues. This technique is based on applying a controlled cooling of the area to be treated to cause the gradual elimination of fat cells in very specific areas. Due to the drop in temperature, these cells die and the body naturally eliminates them. Currently, Cryolipolysis is indicated especially for areas such as the abdomen or love handles, but must be the physician who values ​​the application of this technique for each patient. Normally, in a session expected results, since a 20% reduction of localized fat, approximately is achieved. For patients requiring a second session, you must wait between 2 and 4 months after the first treatment to see the final result. </p>	['cryolipolysi', 'painless', 'noninvas', 'procedur', 'aim', 'reduc', 'fat', 'cell', 'without', 'damag', 'tissu', 'thi', 'techniqu', 'base', 'appli', 'control', 'cool', 'area', 'treat', 'caus', 'gradual', 'elimin', 'fat', 'cell', 'veri', 'specif', 'area', 'due', 'drop', 'temperatur', 'cell', 'die', 'bodi', 'natur', 'elimin', 'current', 'cryolipolysi', 'indic', 'especi', 'area', 'abdomen', 'love', 'handl', 'must', 'physician', 'valu', 'applic', 'thi', 'techniqu', 'patient', 'normal', 'session', 'expect', 'result', 'sinc', 'reduct', 'local', 'fat', 'approxim', 'achiev', 'patient', 'requir', 'second', 'session', 'must', 'wait', 'month', 'first', 'treatment', 'see', 'final', 'result']
52	en-US	14	Ozone therapy			"<p>The ozone treatment is indicated for various uses, especially to oxygenate tissues, activate the metabolism of fats, removing cellulite, combat skin conditions ( acne, psoriasis, dermatitis... ), etc. Currently, also stands as one of the most natural anti-aging and therapeutic methods for other pathologies such as migraines, fibromyalgia, joint problems, intestinal diseases, etc. Basically, it consists in applying doses of ozone ( O3 ) controlled by different techniques, to choose according to the patient and aim to achieve: injections or injections;mesotherapy;hematic or intravenous application ( through a special treatment in which an amount of blood drawn from the patient is mixed with ozone );using gels or emulsions... The number of sessions and the amount of ozone applied in the treatment depends on the individual and also the medical indications.</p>
"	['ozon', 'treatment', 'indic', 'variou', 'use', 'especi', 'oxygen', 'tissu', 'activ', 'metabol', 'fat', 'remov', 'cellulit', 'combat', 'skin', 'condit', 'acn', 'psoriasi', 'dermat', 'etc', 'current', 'also', 'stand', 'one', 'natur', 'therapeut', 'method', 'patholog', 'migrain', 'fibromyalgia', 'joint', 'problem', 'intestin', 'diseas', 'etc', 'basic', 'consist', 'appli', 'dose', 'ozon', 'control', 'differ', 'techniqu', 'choos', 'accord', 'patient', 'aim', 'achiev', 'inject', 'inject', 'mesotherapi', 'hemat', 'intraven', 'applic', 'special', 'treatment', 'amount', 'blood', 'drawn', 'patient', 'mix', 'ozon', 'use', 'gel', 'emuls', 'number', 'session', 'amount', 'ozon', 'appli', 'treatment', 'depend', 'individu', 'also', 'medic', 'indic']
58	en-US	13	Electrolipolysis 			<p></p><p> The electrolipolysis is a cosmetic treatment aimed at eliminating localized cellulite does not go away with exercise or diets. This technique involves the implantation of very fine needles into fat area being treated, which in turn are connected to a device that circulates through them microcurrent low intensity and frequency, causing contraction of fat tissue and removal. Thanks to the electrolipolysis is achieved activate cell renewal, reduce the volume, tone the tissues, and restore skin elasticity. Therefore this treatment is usually recommended for localized cellulite, especially in areas such as thighs, abdomen, hips or saddlebags. </p>	['electrolipolysi', 'cosmet', 'treatment', 'aim', 'elimin', 'local', 'cellulit', 'doe', 'go', 'away', 'exercis', 'diet', 'thi', 'techniqu', 'involv', 'implant', 'veri', 'fine', 'needl', 'fat', 'area', 'treat', 'turn', 'connect', 'devic', 'circul', 'microcurr', 'low', 'intens', 'frequenc', 'caus', 'contract', 'fat', 'tissu', 'remov', 'thank', 'electrolipolysi', 'achiev', 'activ', 'cell', 'renew', 'reduc', 'volum', 'tone', 'tissu', 'restor', 'skin', 'elast', 'therefor', 'thi', 'treatment', 'usual', 'recommend', 'local', 'cellulit', 'especi', 'area', 'thigh', 'abdomen', 'hip', 'saddlebag']
68	en-US	15	Mesotherapy 			"<p>Facial Mesotherapy is a treatment that seeks rejuvenation and stimulation of cell regeneration by infiltration of different active ingredients. These can be hyaluronic acid, vitamins or platelet rich plasma are injected with very fine needles into the skin area to be treated, previously relaxed with topical anesthesia. The technique of mesotherapy causes cell stimulation through this double process:first, the slight sting activates cells and, therefore, are more receptive to or injected vitamins to nourish and hydrate substances. This treatment is painless and provides highly satisfactory results and getting the rejuvenation of the cells of the affected skin.</p>
"	['facial', 'mesotherapi', 'treatment', 'seek', 'rejuven', 'stimul', 'cell', 'regener', 'infiltr', 'differ', 'activ', 'ingredi', 'hyaluron', 'acid', 'vitamin', 'platelet', 'rich', 'plasma', 'inject', 'veri', 'fine', 'needl', 'skin', 'area', 'treat', 'previous', 'relax', 'topic', 'anesthesia', 'techniqu', 'mesotherapi', 'caus', 'cell', 'stimul', 'thi', 'doubl', 'process', 'first', 'slight', 'sting', 'activ', 'cell', 'therefor', 'recept', 'inject', 'vitamin', 'nourish', 'hydrat', 'substanc', 'thi', 'treatment', 'painless', 'provid', 'highli', 'satisfactori', 'result', 'get', 'rejuven', 'cell', 'affect', 'skin']
77	en-US	17	Crioesclerosis liquid 			"<p>&nbsp;</p>

<p>Crioesclerosis liquid is a treatment that eliminates varicose veins and small capillaries gradually. It comprises introducing into the capillary a sclerosing product at a temperature around -40&ordf;C. With this capillary hardening is achieved and thus the small capillaries microvarices and lower extremities are removed. This treatment is achieved not only remove the vein for aesthetic reasons, but also can eliminate the heaviness and causing overload veins. With respect to other techniques, the advantage is that subsequent pigmentation left other sclerosing products are removed.</p>
"	['crioesclerosi', 'liquid', 'treatment', 'elimin', 'varicos', 'vein', 'small', 'capillari', 'gradual', 'It', 'compris', 'introduc', 'capillari', 'scleros', 'product', 'temperatur', 'around', 'thi', 'capillari', 'harden', 'achiev', 'thu', 'small', 'capillari', 'microvaric', 'lower', 'extrem', 'remov', 'thi', 'treatment', 'achiev', 'onli', 'remov', 'vein', 'aesthet', 'reason', 'also', 'elimin', 'heavi', 'caus', 'overload', 'vein', 'respect', 'techniqu', 'advantag', 'subsequ', 'pigment', 'left', 'scleros', 'product', 'remov']
81	en-US	18	Endermologie 			<p> Endermology (LPG) is a technique based on the application of a deep massage by an apparatus which acts on the skin with the goal of reducing cellulite, improved skin tone and skin smoothness and modeling Fig. By using an apparatus consisting of two rollers connected to an aspirator, the suction of tissue is induced by intense circulation reactive massage, favors the elimination of liquid, reactive collagen and helps eliminate localized fat, toning muscles and tissues. Normally, the duration of each session is usually about 45 minutes, but the number of sessions required to achieve the objective achieved depends on the patient and the treatment area. </p>	['endermolog', 'lpg', 'techniqu', 'base', 'applic', 'deep', 'massag', 'apparatu', 'act', 'skin', 'goal', 'reduc', 'cellulit', 'improv', 'skin', 'tone', 'skin', 'smooth', 'model', 'fig', 'By', 'use', 'apparatu', 'consist', 'two', 'roller', 'connect', 'aspir', 'suction', 'tissu', 'induc', 'intens', 'circul', 'reactiv', 'massag', 'favor', 'elimin', 'liquid', 'reactiv', 'collagen', 'help', 'elimin', 'local', 'fat', 'tone', 'muscl', 'tissu', 'normal', 'durat', 'session', 'usual', 'minut', 'number', 'session', 'requir', 'achiev', 'object', 'achiev', 'depend', 'patient', 'treatment', 'area']
82	en-US	739	Bruised kidney 			"<p>It is a traumatic injury resulting from violent blows to the kidney, usually produced by automobile or sports accidents. Up to 10% of patients suffering abdominal trauma kidney present hematoma. In addition, about 3% of hospitalizations for trauma due to kidney injury.</p>
"	['It', 'traumat', 'injuri', 'result', 'violent', 'blow', 'kidney', 'usual', 'produc', 'automobil', 'sport', 'accid', 'Up', 'patient', 'suffer', 'abdomin', 'trauma', 'kidney', 'present', 'hematoma', 'In', 'addit', 'hospit', 'trauma', 'due', 'kidney', 'injuri']
87	en-US	19	Presotherapy			"<p><span style=""font-size: 12px;"">Pressure therapy or lymphatic drainage is a treatment that involves applying a massage through pressure on specific areas of the body, to help revive the circulatory system, stimulate the immune system and increase body oxygenation, achieving better nutrition of cells and the elimination of toxins. Aesthetically, the pressure therapy has multiple benefits: molded body considerably reduces cellulite, tones and firms the buttocks and legs, improves skin elasticity, and help you lose weight and volume. In addition, through acupressure is achieved relax and tone the muscles, giving the body a feeling of lightness.</span></p>

<p>&nbsp;</p>
"	['pressur', 'therapi', 'lymphat', 'drainag', 'treatment', 'involv', 'appli', 'massag', 'pressur', 'specif', 'area', 'bodi', 'help', 'reviv', 'circulatori', 'system', 'stimul', 'immun', 'system', 'increas', 'bodi', 'oxygen', 'achiev', 'better', 'nutrit', 'cell', 'elimin', 'toxin', 'aesthet', 'pressur', 'therapi', 'ha', 'multipl', 'benefit', 'mold', 'bodi', 'consider', 'reduc', 'cellulit', 'tone', 'firm', 'buttock', 'leg', 'improv', 'skin', 'elast', 'help', 'lose', 'weight', 'volum', 'In', 'addit', 'acupressur', 'achiev', 'relax', 'tone', 'muscl', 'give', 'bodi', 'feel', 'light']
95	en-US	20	Vacumtherapy			"<p><span style=""font-size: 12px;"">The vacuum therapy is one of the most effective treatments to eliminate cellulite, fluid accumulation and localized fat, from activation of lymphatic and venous circulation. This method is applied by using an apparatus which has a special heads equipped to exert a suction or pressure on the skin in each of the treated areas. Using this technique, it is performing a kind of drainage massage decongestion causing areas with stored fat and cellulite, improved skin elasticity and preventing wrinkles. And thanks to the suction movement, muscles are toned and the production of collagen and elastin is increased, giving skin flexibility. The areas that are most often applied vacumterapia are the arms, legs, thighs and hips. Generally, a complete treatment lasts between 12 and 15 weeks, but from the first sessions the effects are already visible.</span></p>
"	['vacuum', 'therapi', 'one', 'effect', 'treatment', 'elimin', 'cellulit', 'fluid', 'accumul', 'local', 'fat', 'activ', 'lymphat', 'venou', 'circul', 'thi', 'method', 'appli', 'use', 'apparatu', 'ha', 'special', 'head', 'equip', 'exert', 'suction', 'pressur', 'skin', 'treat', 'area', 'use', 'thi', 'techniqu', 'perform', 'kind', 'drainag', 'massag', 'decongest', 'caus', 'area', 'store', 'fat', 'cellulit', 'improv', 'skin', 'elast', 'prevent', 'wrinkl', 'thank', 'suction', 'movement', 'muscl', 'tone', 'product', 'collagen', 'elastin', 'increas', 'give', 'skin', 'flexibl', 'area', 'often', 'appli', 'vacumterapia', 'arm', 'leg', 'thigh', 'hip', 'gener', 'complet', 'treatment', 'last', 'week', 'first', 'session', 'effect', 'alreadi', 'visibl']
99	en-US	21	Laser Hair Removal 			"<p>Laser hair removal is a permanent treatment for removing unwanted hair from any part of the body is done through a technique of laser application on the skin. The light emitted is focused on the hair and causes its destruction. In each session a percentage of hair in the treated area is removed but as each hair carries a certain rate of growth, will be a part that will grow. Therefore, treatment should be repeated for several sessions, depending on the area to be waxed and the type and color of hair and skin. Normally, faster results are achieved on light skin with dark hair, but is customized for each patient and the laser intensity applied is adjusted via the platform used. Currently, there are different types of lasers, such as alexandrite, diode or Neodymium. They are safe and ensure removal of the hair follicle without damaging surrounding tissues or structures. However, prior to the removal, the doctor should perform a skin analysis and medical history of the patient to prevent allergic reactions or contraindications for this treatment.</p>
"	['laser', 'hair', 'remov', 'perman', 'treatment', 'remov', 'unwant', 'hair', 'ani', 'part', 'bodi', 'done', 'techniqu', 'laser', 'applic', 'skin', 'light', 'emit', 'focus', 'hair', 'caus', 'destruct', 'In', 'session', 'percentag', 'hair', 'treat', 'area', 'remov', 'hair', 'carri', 'certain', 'rate', 'growth', 'part', 'grow', 'therefor', 'treatment', 'repeat', 'sever', 'session', 'depend', 'area', 'wax', 'type', 'color', 'hair', 'skin', 'normal', 'faster', 'result', 'achiev', 'light', 'skin', 'dark', 'hair', 'custom', 'patient', 'laser', 'intens', 'appli', 'adjust', 'via', 'platform', 'use', 'current', 'differ', 'type', 'laser', 'alexandrit', 'diod', 'neodymium', 'safe', 'ensur', 'remov', 'hair', 'follicl', 'without', 'damag', 'surround', 'tissu', 'structur', 'howev', 'prior', 'remov', 'doctor', 'perform', 'skin', 'analysi', 'medic', 'histori', 'patient', 'prevent', 'allerg', 'reaction', 'contraind', 'thi', 'treatment']
